[V1] core_leak_lp_01__visible         visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_leak_ap_02__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_ap_03__visible         visible truth ANOMALOUS -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_ap_03__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_ap_04__visible         visible truth ANOMALOUS -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_ap_04__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_ap_05__visible         visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_leak_ap_05__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_ap_06__visible         visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_leak_ap_06__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_ap_07__visible         visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_leak_ap_07__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_ap_08__visible         visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_leak_ap_08__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_ap_09__visible         visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_leak_ap_09__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_leak_ap_10__visible         visible truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_leak_ap_10__hidden          hidden  truth UNKNOWN   -> UNKNOWN (submitted_unprompted; collection complete)
[V1] core_normal_01__normal           normal  truth NORMAL    -> NORMAL (submitted_unprompted; collection complete)
[V1] core_normal_02__normal           normal  truth NORMAL    -> NORMAL (submitted_unprompted; collection complete)
[V1] core_normal_03__normal           normal  truth NORMAL    -> NORMAL (submitted_unprompted; collection complete)
[V1] core_normal_04__normal           normal  truth NORMAL    -> NORMAL (submitted_unprompted; collection complete)
[V1] core_normal_05__normal           normal  truth NORMAL    -> NORMAL (submitted_unprompted; collection complete)
[V1] core_normal_06__normal           normal  truth NORMAL    -> NORMAL (submitted_unprompted; collection complete)
[V1] core_normal_07__normal           normal  truth NORMAL    -> NORMAL (submitted_unprompted; collection complete)
[V1] core_normal_08__normal           normal  truth NORMAL    -> NORMAL (submitted_unprompted; collection complete)
[V1] core_normal_09__normal           normal  truth NORMAL    -> NORMAL (submitted_unprompted; collection complete)
[V1] core_normal_10__normal           normal  truth NORMAL    -> NORMAL (submitted_unprompted; collection complete)
[V1] core_full_01__full               full    truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_full_02__full               full    truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_full_03__full               full    truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_full_04__full               full    truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_full_05__full               full    truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_full_06__full               full    truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_full_07__full               full    truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_full_08__full               full    truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_full_09__full               full    truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
[V1] core_full_10__full               full    truth ANOMALOUS -> ANOMALOUS (submitted_unprompted; collection complete)
done; v2 spend so far US$1.83
